Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;59.170,03;59.170.030,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;64.426,05;64.426.050,00
4;TRANSFERENCIAS CORRIENTES;529.269,31;529.269.310,00
—;TOTAL OPERACIONES CORRIENTES;652.865,39;652.865.390,00
6;INVERSIONES REALES;27.679,73;27.679.730,00
7;TRANSFERENCIAS DE CAPITAL;591.373,61;591.373.610,00
—;TOTAL OPERACIONES DE CAPITAL;619.053,34;619.053.340,00
—;TOTAL OPERACIONES NO FINANCIERAS;1.271.918,73;1.271.918.730,00
8;ACTIVOS FINANCIEROS;40,5;40.500,00
—;TOTAL PRESUPUESTO;1.271.959,23;1.271.959.230,00
4;TRANSFERENCIAS CORRIENTES (entre subsectores);–293.026,57;–293.026.570,00
7;TRANSFERENCIAS DE CAPITAL (entre subsectores);–22.364,90;–22.364.900,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;–315.391,47;–315.391.470,00
—;TOTAL CONSOLIDADO;956.567,76;956.567.760,00
