Económica;Explicación;13.02;13.05;13.06;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;1.323.862,38;10.956,78;289.145,05;1.623.964,21;1.623.964.210,00
10;Altos cargos;12.416,77;1.890,53;3.015,96;17.323,26;17.323.260,00
12;Funcionarios;1.179.592,09;8.205,08;270.087,83;1.457.885,00;1.457.885.000,00
13;Laborales;16.382,98;153,35;—;16.536,33;16.536.330,00
14;Otro personal;13.759,47;—;—;13.759,47;13.759.470,00
15;Incentivos al rendimiento;547,44;—;324,17;871,61;871.610,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;101.163,63;707,82;15.717,09;117.588,54;117.588.540,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;122.850,44;396;—;123.246,44;123.246.440,00
20;Arrendamientos y cánones;11.156,15;—;—;11.156,15;11.156.150,00
21;Reparaciones, mantenimiento y conservación;15.544,46;33,84;—;15.578,30;15.578.300,00
22;Material, suministros y otros;93.130,96;109,16;—;93.240,12;93.240.120,00
23;Indemnizaciones por razón del servicio;3.018,87;201;—;3.219,87;3.219.870,00
24;Gastos de publicaciones;—;52;—;52;52.000,00
3;GASTOS FINANCIEROS;625,77;—;—;625,77;625.770,00
35;Intereses de demora y otros gastos financieros;625,77;—;—;625,77;625.770,00
4;TRANSFERENCIAS CORRIENTES;56.338,53;—;—;56.338,53;56.338.530,00
45;A Comunidades Autónomas;1;—;—;1;1.000,00
46;A Entidades Locales;1.995,21;—;—;1.995,21;1.995.210,00
48;A familias e instituciones sin fines de lucro;54.341,32;—;—;54.341,32;54.341.320,00
49;Al exterior;1;—;—;1;1.000,00
6;INVERSIONES REALES;154.720,44;3.757,05;—;158.477,49;158.477.490,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;120.551,14;3.215,09;—;123.766,23;123.766.230,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;17.168,74;—;—;17.168,74;17.168.740,00
64;Gastos de inversiones de carácter inmaterial;17.000,56;541,96;—;17.542,52;17.542.520,00
8;ACTIVOS FINANCIEROS;536;—;—;536;536.000,00
83;Concesión de préstamos fuera del Sector Público;536;—;—;536;536.000,00
—;TOTAL PROGRAMA 112A;1.658.933,56;15.109,83;289.145,05;1.963.188,44;1.963.188.440,00
