Económica;Explicación;Total (miles €);Total (€)
1;GASTOS DE PERSONAL;11.528,55;11.528.550,00 €
10;Altos cargos;334,58;334.580,00 €
11;Personal eventual;249,6;249.600,00 €
12;Funcionarios;8.125,19;8.125.190,00 €
13;Laborales;51,52;51.520,00 €
15;Incentivos al rendimiento;1.696,15;1.696.150,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.071,51;1.071.510,00 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;200,54;200.540,00 €
22;Material, suministros y otros;97,22;97.220,00 €
23;Indemnizaciones por razón del servicio;103,32;103.320,00 €
4;TRANSFERENCIAS CORRIENTES;30,00;30.000,00 €
48;A familias e instituciones sin fines de lucro;30;30.000,00 €
—;TOTAL PROGRAMA 922M;11.759,09;11.759.090,00 €
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
